	Raman shift	Intensity	Baseline	Corrected Intensity	intensity_norm	intensity_sub	linear_baseline	intensity_final	Curve 1	Curve 2	Curve 3	Fit Sum
366.0	1331.42	38692.0	20634.906500015462	18057.093499984538	0.784701012856877	0.779079003576674	-0.019130008849592817	0.7982090124262669	0.8021874419833739	9.142829759239286E-4	0.016768347516534752	0.8198700724758325
367.0	1334.67	39619.9	20642.503720482942	18977.39627951706	0.8246942998847582	0.8151316444759302	-0.020008256141323955	0.8351399006172542	0.8336294243704577	0.0011248828243845283	0.017188865656263652	0.8519431728511059
368.0	1337.92	40447.8	20649.939297343062	19797.86070265694	0.8603489451825438	0.8554907764377675	-0.020886503433055086	0.8763772798708226	0.8617866881021446	0.0013783909260656807	0.017625294668216995	0.8807903736964273
369.0	1341.18	41251.2	20657.21373909817	20593.986260901827	0.8949459046498326	0.8861400140612503	-0.021767453024145386	0.9079074670853957	0.8858755035216211	0.0016832144049448695	0.018079862683179463	0.9056385806097456
370.0	1344.43	42087.3	20664.32757404846	21422.972425951542	0.9309708764072977	0.9232468000682122	-0.022645700315876524	0.9458925003840888	0.9049464547412974	0.002045860765050187	0.018550641842341772	0.9255429573486894
371.0	1347.68	42599.4	20671.28135108811	21928.11864891189	0.9529228451888822	0.9423102828604629	-0.023523947607607655	0.9658342304680706	0.9183940561158038	0.0024765732372994146	0.01903991457749592	0.9399105439305991
372.0	1350.93	43097.9	20678.07564053425	22419.82435946575	0.9742907341627889	0.9653899712157276	-0.024402194899338786	0.9897921661150664	0.9257062100708977	0.0029858277133586186	0.01954865482280928	0.9482406926070657
373.0	1354.17	43221.7	20684.711034632124	22536.988965367873	0.9793823168653124	0.9666363134208117	-0.025277739891710754	0.9919140533125225	0.9266016188552161	0.0035832327198816022	0.020076239938542465	0.9502610915136401
374.0	1357.42	42936.7	20691.1881480468	22245.511851953197	0.9667156944035474	0.9469018620021324	-0.026155987183441885	0.9730578491855744	0.9210499660590545	0.0042851984505973	0.020627031622032607	0.9459621961316844
375.0	1360.67	42694.4	20697.507617980333	21996.89238201967	0.9559115220779766	0.9397296185428216	-0.027034234475173016	0.9667638530179946	0.9092588985018235	0.005103937300383537	0.021200616526048568	0.9355634523282556
376.0	1363.91	42103.9	20703.670103880348	21400.229896119654	0.9299825619704241	0.9022318698418966	-0.027909779467544985	0.9301416493094417	0.8917451792533686	0.00605135549576634	0.021796381733469757	0.9195929164826047
377.0	1367.15	41382.7	20709.676287191345	20673.023712808652	0.8983806084998716	0.8749109917864937	-0.028785324459916946	0.9036963162464107	0.8691195458926368	0.007145774288719836	0.02241739624989566	0.8986827164312524
378.0	1370.39	40514.1	20715.526870758047	19798.57312924195	0.8603799048640033	0.8310692221202957	-0.029660869452288907	0.8607300915725846	0.8421489125625895	0.008404177421537182	0.02306509405495711	0.8736181840390839
379.0	1373.63	39518.8	20721.2225780982	18797.577421901802	0.8168799725290528	0.786432310488732	-0.03053641444466087	0.8169687249333928	0.8116675505313741	0.009844426510365994	0.023741011383722213	0.8452529884254623
380.0	1376.87	38670.6	20726.76415252813	17943.83584747187	0.7797792133080981	0.7516240857629751	-0.031411959437032774	0.7830360452000079	0.7785195135965289	0.011485103708936774	0.024446795509403558	0.8144514128148692
381.0	1380.11	37911.7	20732.152356161714	17179.547643838283	0.7465657990060481	0.7170641994111862	-0.032287504429404736	0.7493517038405909	0.7435114767266047	0.013345311396149539	0.02518421440854355	0.7820410025312978
382.0	1383.34	37284.2	20737.38796905668	16546.812030943318	0.7190692212035508	0.6845235837878688	-0.033160347122417534	0.7176839309102864	0.7074915075972191	0.015437560586210014	0.025952734282281134	0.7488818024657103
383.0	1386.58	36651.0	20742.471788450282	15908.528211549718	0.6913315368653297	0.6525246539482561	-0.03403589211478949	0.6865605460630456	0.6708791411072239	0.017794117377899148	0.026759150712989295	0.7154324091981124
384.0	1389.81	35937.7	20747.404628126584	15190.295371873413	0.660119534958071	0.6161369474958447	-0.03490873480780229	0.651045682303647	0.634441201549373	0.02041931597032461	0.02760066914989066	0.6824611866695883
385.0	1393.04	35202.1	20752.187317778164	14449.912682221835	0.6279449745022706	0.5767537165945937	-0.03578157750081507	0.6125352940954089	0.5985061820647772	0.023338127547696205	0.028482068957179023	0.6503263785696524
386.0	1396.28	34725.0	20756.820702287896	13968.179297712104	0.6070104495327853	0.5545498885347693	-0.03665712249318704	0.5912070110279564	0.5633163857921177	0.026578010248700448	0.02940880902684937	0.6193032050676676
387.0	1399.51	34139.1	20761.305640988572	13377.794359011426	0.5813542906734283	0.528764732473194	-0.03752996518619984	0.5662946976593939	0.5293570196653951	0.030134366050186264	0.030377907551645628	0.5898692932672269
388.0	1402.74	33674.8	20765.643007181152	12909.156992818851	0.5609888749483445	0.5068159951947615	-0.03840280787921262	0.5452188030739741	0.49671461902011554	0.034029983257336596	0.03139511047492793	0.5621397127523801
389.0	1405.96	33352.0	20769.83368754438	12582.166312455622	0.546778951403561	0.49102500683375794	-0.03927294827286625	0.5302979551066241	0.4656208212099105	0.03826186171387793	0.032460221719225635	0.5363429046430142
