;Raman shift;Intensity;Baseline;Corrected Intensity;intensity_norm;intensity_sub;linear_baseline;intensity_final
463;1641.48;28982.0;20749.84232466218;8232.157675337821;0.35774209541755064;0.2560190992617871;-0.10291750278010212;0.35893660204188926
464;1644.62;28087.4;20746.383240010375;7341.016759989627;0.3190160856711576;0.2099125583173569;-0.1037660247788823;0.3136785830962392
465;1647.76;27217.9;20742.880882259844;6475.0191177401575;0.2813827186508557;0.16983424292402804;-0.10461454677766258;0.2744487897016906
466;1650.89;26554.9;20739.337202420975;5815.562797579027;0.25272494809848234;0.14493511827713013;-0.10546036647708365;0.2503954847542138
467;1654.03;25887.1;20735.754157979172;5151.345842020826;0.22386029622171838;0.10956122479788082;-0.10630888847586387;0.21587011327374467
468;1657.16;25149.3;20732.133712235416;4417.166287764583;0.1919553033254819;0.07552976743961323;-0.10715470817528494;0.18268447561489817
469;1660.29;24636.0;20728.47783364201;3907.5221663579905;0.1698078708904309;0.05160692080388435;-0.10800052787470599;0.15960744867859034
470;1663.43;24170.1;20724.78849506843;3445.3115049315675;0.14972173830354077;0.026708469451136307;-0.10884904987348623;0.13555751932462254
471;1666.56;23914.1;20721.067673291676;3193.032326708322;0.1387585272710094;0.011283942575814165;-0.10969486957290728;0.12097881214872144
472;1669.68;23633.6;20717.317348534034;2916.2826514659646;0.1267319101152265;0.0010059639068642212;-0.11053798697296918;0.1115439508798334
473;1672.81;23460.0;20713.539504210825;2746.460495789175;0.11935200605894918;-0.022449522975195355;-0.11138380667239023;0.08893428369719487
474;1675.94;23527.6;20709.736126653646;2817.863873346352;0.12245495851863306;-0.03142968227399365;-0.1122296263718113;0.08079994409781766
475;1679.06;23635.7;20705.90920494054;2929.79079505946;0.1273189289485532;-0.037231463371856816;-0.11307274377187318;0.07584128040001636
476;1682.19;23713.1;20702.060730967423;3011.0392690325752;0.13084971643768226;-0.05466703990513047;-0.11391856347129425;0.05925152356616378
