	Raman shift	Intensity	Baseline	Corrected Intensity	Curve 1	Curve 2	Curve 3	Curve 4	Curve 5	Fit Sum
141.0	566.414	15033.6	14106.130440761577	927.4695592384232	1.9099642877352262E-145	5.625475254702417E-203	1.6896511677320673E-25	5.420654325624757E-189	0.0	1.6896511677320673E-25
142.0	569.965	14990.7	14138.861309148615	851.8386908513858	5.616792770626997E-144	4.044134815447423E-201	2.9211932142831226E-25	1.1737466334885282E-187	0.0	2.9211932142831226E-25
143.0	573.515	15083.9	14171.32800677087	912.5719932291304	1.6225710057114318E-142	2.8480942910618615E-199	5.037824636465018E-25	2.5122260360802673E-186	0.0	5.037824636465018E-25
144.0	577.061	14997.1	14203.531830127466	793.5681698725348	4.591475364139587E-141	1.9579506595147568E-197	8.662584177090012E-25	5.301396213574443E-185	0.0	8.662584177090012E-25
145.0	580.608	15040.4	14235.474084843247	804.925915156753	1.278763863941043E-139	1.321809943448059E-195	1.4863009730351997E-24	1.1077513259955582E-183	0.0	1.4863009730351997E-24
146.0	584.153	15058.7	14267.156084478731	791.5439155212698	3.495417643025242E-138	8.731974851531356E-194	2.5434491200546442E-24	2.286126428229303E-182	0.0	2.5434491200546442E-24
147.0	587.695	15151.6	14298.579150643698	853.0208493563023	9.368900071503258E-137	5.63814828490825E-192	4.3404290996044764E-24	4.6558946580248757E-181	0.0	4.3404290996044764E-24
148.0	591.238	15129.6	14329.74461286336	799.8553871366403	2.4715989463178834E-135	3.575133255711083E-190	7.39092126933786E-24	9.389296763682668E-180	0.0	7.39092126933786E-24
149.0	594.778	15124.7	14360.653809193129	764.0461908068719	6.393943929705156E-134	2.215910319927488E-188	1.25504891950269E-23	1.868620138967374E-178	0.0	1.25504891950269E-23
150.0	598.318	15164.4	14391.308085686966	773.0919143130341	1.626550777567209E-132	1.3472426870599078E-186	2.1262536159001723E-23	3.6793717537187295E-177	0.0	2.1262536159001723E-23
151.0	601.856	15330.1	14421.70879603929	908.3912039607112	4.061500575541924E-131	8.016271864975497E-185	3.5928022180022706E-23	7.1558909182768E-176	0.0	3.5928022180022706E-23
152.0	605.392	15291.2	14451.857301675429	839.3426983245718	9.954921881839853E-130	4.668164590741104E-183	6.055041109494304E-23	1.3746717326693742E-174	0.0	6.055041109494304E-23
153.0	608.928	15345.9	14481.754973104627	864.1450268953722	2.399460712900055E-128	2.666689724015937E-181	1.0181118464155704E-22	2.6128197366924648E-173	0.0	1.0181118464155704E-22
154.0	612.46	15388.4	14511.403189229552	876.9968107704481	5.667124934996745E-127	1.4875727637742663E-179	1.7069268401883557E-22	4.897293830904213E-172	0.0	1.7069268401883557E-22
155.0	615.993	15576.6	14540.803337594312	1035.796662405688	1.3174633742369034E-125	8.149789131475272E-178	2.8555799180909094E-22	9.089644623606155E-171	0.0	2.8555799180909094E-22
156.0	619.523	15615.6	14569.956814512992	1045.643185487008	3.0040012763950025E-124	4.36531444609659E-176	4.764107563710096E-22	1.6651344936488407E-169	0.0	4.764107563710096E-22
